,CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,PM2.5T,lat,lon
424,1,SF,16707,BA,COURTYARD BY MARRIOTT,5555 SHELLMOUND STREET,EMERYVILLE,94608,7011,ALA,BAY AREA AQMD,,,0.006196475999999999,0.006060435,0.05151371,0.0418442,3.3169e-05,0.002530342,0.002429129,0.002370931,37.83484,-122.29381
425,1,SF,5565,BA,CREATIVE WOOD PRODUCTS,900A 77TH AVENUE,OAKLAND,94621,2521,ALA,BAY AREA AQMD,,,12.864475992000001,9.099522811,,,,,,,37.75209,-122.19162
426,1,SF,22402,BA,CREEKVIEW HC LLC,2900 STONERIDGE DRIVE,PLEASANTON,94588,8361,ALA,BAY AREA AQMD,,,6.2288e-05,5.4928999999999995e-05,0.00015380100000000001,0.003067975,3.589e-06,1.9049e-05,1.8287e-05,1.7849e-05,37.69508,-121.85516
427,1,SF,23483,BA,"CROSSING AT 880 INDUSTRIAL, LLC",49088 FREMONT BLVD,FREMONT,94538,6512,ALA,BAY AREA AQMD,,,0.000410892,0.00033976300000000003,0.0020763279999999997,0.006564094,1.7342e-05,0.00031729400000000003,0.000304602,0.000297304,37.4570957700683,-121.926320806939
428,1,SF,22597,BA,"CROSSINGS @ 880 INDUSTRIAL, LLC",48688 FREMONT BLVD,FREMONT,94538,6512,ALA,BAY AREA AQMD,,,0.000205459,0.00016989200000000002,0.0010382289999999999,0.003282254,8.672000000000001e-06,0.000158657,0.000152311,0.000148661,37.4639739401011,-121.930193274604
429,1,SF,23484,BA,"CROSSINGS AT 880 INDUSTRIAL, LLC",48888 FREMONT BLVD,FREMONT,94538,6512,ALA,BAY AREA AQMD,,,0.000425507,0.00035437800000000003,0.009365696,0.0063424,1.7342e-05,2.9066e-05,2.7903e-05,2.7235e-05,37.4606892470071,-121.927625914233
430,1,SF,21291,BA,CROWN CASTLE USA INC,4950 WELLER ROAD,FREMONT,94538,4499,ALA,BAY AREA AQMD,,,3.9346e-05,3.2656e-05,0.00039186699999999995,0.001242288,1.631e-06,4.1073000000000005e-05,3.943e-05,3.8486e-05,37.44438,-121.84058
431,1,SF,11929,BA,CULTURED MARBLE PRODUCTS,2701 MERCED STREET,SAN LEANDRO,94577,3281,ALA,BAY AREA AQMD,,,8.156260582,7.877807467339999,0.002306667,0.009241892,3.745e-05,0.000197715,0.000197715,0.000197715,37.70208,-122.1678
432,1,SF,16146,BA,"CUMMINS PACIFIC, LLC",14775 WICKS BOULEVARD,SAN LEANDRO,94577,3519,ALA,BAY AREA AQMD,,,0.000170117,0.000158186,0.001370941,0.006015822,5.817999999999999e-06,3.1031e-05,2.979e-05,2.9075999999999997e-05,37.69433,-122.16412
433,1,SF,14364,BA,CUSTOM CRAFT CABINETS INC,37533 ENTERPRISE CT #A,NEWARK,94560,2521,ALA,BAY AREA AQMD,,,2.1601709369999997,2.1511732919499997,0.0031999990000000002,0.01282112,5.1954e-05,0.000274286,0.000274286,0.000274286,37.52218,-122.04089
434,1,SF,20526,BA,CUSTOM WOOD FINISHING,2311 ADELINE STREET,OAKLAND,94607,5712,ALA,BAY AREA AQMD,,,0.193353878,0.193353868,,,,,,,37.81645,-122.28401
435,1,SF,12549,BA,"D & S NITINOL TECHNOLOGIES, INC",47533 WESTINGHOUSE DR,FREMONT,94539,3845,ALA,BAY AREA AQMD,,,0.134053199,0.134053199,,,,,,,37.4800188606153,-121.926196553818
436,1,SF,19101,BA,"D & S NITINOL TECHNOLOGIES, INC",47600 WESTINGHOUSE DR,FREMONT,94539,3841,ALA,BAY AREA AQMD,,,0.542377782,0.542377782,,,,,,,37.47939,-121.92525
437,1,SF,12106,BA,D W NICHOLSON CORPORATION,24747 CLAWITER ROAD,HAYWARD,94540,1731,ALA,BAY AREA AQMD,,,0.7041938,0.58646444,,,,,,,37.64008,-122.12091
