Observation Date,Confirmed,Day,Total per Day
01/30/2020,2,,
01/30/2020,3,,
01/30/2020,4,,
01/30/2020,1,,
01/30/2020,4,,
01/30/2020,1,,
01/30/2020,1,,
01/31/2020,5806,,
01/31/2020,538,,
01/31/2020,436,,
01/31/2020,352,,
01/31/2020,332,,
01/31/2020,240,,
01/31/2020,237,,
01/31/2020,211,,
01/31/2020,184,,
01/31/2020,177,,
01/31/2020,168,,
01/31/2020,139,,
01/31/2020,135,,
01/31/2020,120,,
01/31/2020,87,,
01/31/2020,87,,
01/31/2020,83,,
01/31/2020,82,,
01/31/2020,59,,
01/31/2020,52,,
01/31/2020,48,,
01/31/2020,39,,
01/31/2020,32,,
01/31/2020,29,,
01/31/2020,29,,
01/31/2020,21,,
01/31/2020,20,,
01/31/2020,17,,
01/31/2020,14,,
01/31/2020,12,,
01/31/2020,10,,
01/31/2020,8,,
01/31/2020,7,,
01/31/2020,1,,
01/31/2020,19,,
01/31/2020,15,,
01/31/2020,13,,
01/31/2020,11,,
01/31/2020,8,,
01/31/2020,5,,
01/31/2020,5,,
01/31/2020,4,,
01/31/2020,4,,
01/31/2020,3,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,2,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
01/31/2020,1,,
02/01/2020,7153,,
02/01/2020,599,,
02/01/2020,535,,
02/01/2020,422,,
02/01/2020,389,,
02/01/2020,297,,
02/01/2020,286,,
02/01/2020,247,,
02/01/2020,207,,
02/01/2020,206,,
02/01/2020,202,,
02/01/2020,169,,
02/01/2020,168,,
02/01/2020,144,,
02/01/2020,101,,
02/01/2020,100,,
02/01/2020,96,,
02/01/2020,93,,
02/01/2020,80,,
02/01/2020,64,,
02/01/2020,62,,
02/01/2020,47,,
02/01/2020,41,,
02/01/2020,40,,
02/01/2020,29,,
02/01/2020,26,,
02/01/2020,23,,
02/01/2020,20,,
02/01/2020,19,,
02/01/2020,18,,
02/01/2020,17,,
02/01/2020,16,,
02/01/2020,13,,
02/01/2020,12,,
02/01/2020,10,,
02/01/2020,9,,
02/01/2020,8,,
02/01/2020,8,,
02/01/2020,7,,
02/01/2020,6,,
02/01/2020,6,,
02/01/2020,4,,
02/01/2020,4,,
02/01/2020,4,,
02/01/2020,3,,
02/01/2020,3,,
02/01/2020,2,,
02/01/2020,2,,
02/01/2020,2,,
02/01/2020,2,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/01/2020,1,,
02/02/2020,11177,,
02/02/2020,661,,
02/02/2020,632,,
02/02/2020,493,,
02/02/2020,463,,
02/02/2020,340,,
02/02/2020,333,,
02/02/2020,300,,
02/02/2020,236,,
02/02/2020,231,,
02/02/2020,230,,
02/02/2020,191,,
02/02/2020,182,,
02/02/2020,159,,
02/02/2020,116,,
02/02/2020,111,,
02/02/2020,105,,
02/02/2020,104,,
02/02/2020,95,,
02/02/2020,70,,
02/02/2020,66,,
02/02/2020,64,,
02/02/2020,51,,
02/02/2020,48,,
02/02/2020,38,,
02/02/2020,28,,
02/02/2020,27,,
02/02/2020,23,,
02/02/2020,21,,
02/02/2020,20,,
02/02/2020,19,,
02/02/2020,18,,
02/02/2020,15,,
02/02/2020,15,,
02/02/2020,11,,
02/02/2020,10,,
02/02/2020,10,,
02/02/2020,8,,
02/02/2020,8,,
02/02/2020,6,,
02/02/2020,6,,
02/02/2020,5,,
02/02/2020,4,,
02/02/2020,4,,
02/02/2020,3,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,2,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/02/2020,1,,
02/03/2020,13522,,
02/03/2020,725,,
02/03/2020,724,,
02/03/2020,566,,
02/03/2020,521,,
02/03/2020,408,,
02/03/2020,391,,
02/03/2020,337,,
02/03/2020,271,,
02/03/2020,259,,
02/03/2020,254,,
02/03/2020,212,,
02/03/2020,203,,
02/03/2020,179,,
02/03/2020,128,,
02/03/2020,127,,
02/03/2020,121,,
02/03/2020,117,,
02/03/2020,113,,
02/03/2020,74,,
02/03/2020,74,,
02/03/2020,72,,
02/03/2020,60,,
02/03/2020,55,,
02/03/2020,46,,
02/03/2020,34,,
02/03/2020,31,,
02/03/2020,31,,
02/03/2020,24,,
02/03/2020,20,,
02/03/2020,19,,
02/03/2020,18,,
02/03/2020,15,,
02/03/2020,15,,
02/03/2020,13,,
02/03/2020,12,,
02/03/2020,10,,
02/03/2020,8,,
02/03/2020,8,,
02/03/2020,8,,
02/03/2020,6,,
02/03/2020,5,,
02/03/2020,4,,
02/03/2020,4,,
02/03/2020,3,,
02/03/2020,3,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,2,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/03/2020,1,,
02/04/2020,16678,,
02/04/2020,829,,
02/04/2020,813,,
02/04/2020,675,,
02/04/2020,593,,
02/04/2020,480,,
02/04/2020,476,,
02/04/2020,366,,
02/04/2020,308,,
02/04/2020,282,,
02/04/2020,275,,
02/04/2020,228,,
02/04/2020,219,,
02/04/2020,194,,
02/04/2020,155,,
02/04/2020,142,,
02/04/2020,139,,
02/04/2020,126,,
02/04/2020,122,,
02/04/2020,81,,
02/04/2020,81,,
02/04/2020,80,,
02/04/2020,67,,
02/04/2020,58,,
02/04/2020,57,,
02/04/2020,42,,
02/04/2020,35,,
02/04/2020,34,,
02/04/2020,29,,
02/04/2020,25,,
02/04/2020,24,,
02/04/2020,22,,
02/04/2020,17,,
02/04/2020,16,,
02/04/2020,15,,
02/04/2020,12,,
02/04/2020,11,,
02/04/2020,10,,
02/04/2020,10,,
02/04/2020,8,,
02/04/2020,6,,
02/04/2020,5,,
02/04/2020,4,,
02/04/2020,4,,
02/04/2020,3,,
02/04/2020,3,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
02/04/2020,2,,
