StateAbbr,PlaceName,Population2010,CASTHMA_CrudePrev,CASTHMA_AdjPrev
NV,Reno,225221,8.9,8.8
TN,Memphis,646889,11.7,11.6
CA,Oceanside,167086,8.5,8.5
OR,Bend,76639,9.7,9.7
TX,League City,83560,8.2,8.1
MO,Columbia,108500,9.8,9.4
SC,Columbia,129272,9.4,9.4
FL,Orlando,238300,8.2,8.2
FL,Melbourne,76068,8.3,8.3
FL,Clearwater,107685,7.8,7.9
AR,Springdale,69797,9.4,9.4
CA,Manteca,67096,9.3,9.3
ID,Meridian,75092,8.9,8.9
CA,Murrieta,103466,8.4,8.3
TN,Nashville,601222,10.4,10.4
IL,Palatine,68557,8.5,8.4
TX,College Station,93857,9.2,8.4
TX,Richardson,99223,7.9,7.9
IL,Bloomington,76610,9.1,9.1
OH,Akron,199110,11.1,11
CA,Bellflower,76616,8.6,8.5
MI,Sterling Heights,129699,10.6,10.6
OH,Dayton,141527,11.6,11.5
RI,Providence,178042,12.6,12.4
CA,Alameda,73812,8.3,8.3
CA,Orange,136416,8.3,8.2
VA,Newport News,180719,9.7,9.7
TX,Dallas,1197816,9.4,9.3
MA,Boston,617594,11.4,11.3
CT,Waterbury,110366,11.5,11.5
NC,High Point,104371,9.2,9.2
NJ,Jersey City,247597,8.3,8.4
NC,Cary,135234,7.4,7.3
VA,Norfolk,242803,9.6,9.6
CO,Westminster,106114,8.9,8.8
CA,San Jose,945942,7.8,7.7
WI,Madison,233209,8.8,8.6
AR,Fayetteville,73580,9.1,8.8
GA,Warner Robins,66588,9.5,9.4
NJ,Camden,77344,11.1,11
MA,Somerville,75754,10.1,10.1
CA,Chico,86187,9.7,9.5
TX,McKinney,131117,8.4,8.3
MI,Wyoming,72125,10.7,10.6
CA,Richmond,103701,9.5,9.4
IN,Hammond,80830,10.6,10.6
LA,Kenner,66702,8.6,8.6
VA,Virginia Beach,437994,8.5,8.4
TX,San Antonio,1327407,8.4,8.4
AR,Jonesboro,67263,9.4,9.3
FL,Miami Beach,87779,6.4,6.5
IN,Fishers,76794,9,8.9
NH,Manchester,109565,10.9,10.9
NJ,Paterson,146199,9.9,9.8
MI,Rochester Hills,70995,9,9
NC,Winston-Salem,229617,9.2,9.1
CA,El Cajon,99478,9.6,9.5
FL,Palm Coast,75180,7.9,8
LA,Shreveport,199311,9.9,9.8
VT,Burlington,42417,10.9,10.6
FL,Tallahassee,181376,8.5,8.1
WA,Spokane,208916,11,11
MT,Missoula,66788,9.3,9.2
CA,Burbank,103340,8.1,8.1
OH,Cincinnati,296943,10.9,10.8
CA,Fresno,494665,9.8,9.7
TX,Houston,2099451,8.8,8.8
CA,Hesperia,90173,10.2,10.1
WY,Cheyenne,59466,8.6,8.6
CA,Santa Ana,324528,8.9,8.8
NY,Rochester,210565,12.6,12.5
VA,Hampton,137436,9.8,9.7
CA,San Leandro,84950,8.7,8.7
WI,Appleton,72623,8.9,8.9
KS,Olathe,125872,8.7,8.7
NJ,Passaic,69781,9.2,9.1
GA,Atlanta,420003,9,9
CA,Redlands,68747,9.1,9
CA,Citrus Heights,83301,10.1,10.1
FL,Cape Coral,154305,7.6,7.6
CA,Santa Maria,99553,9.5,9.5
TX,Pasadena,149043,8.6,8.5
VA,Portsmouth,95535,10.2,10.2
CA,Apple Valley,69135,10.1,10.1
CA,Carson,91714,8.1,8
MO,Kansas City,459787,10.3,10.2
NC,Gastonia,71741,9.4,9.4
NE,Lincoln,258379,8.3,8.2
MN,Minneapolis,382578,8.5,8.4
AR,Fort Smith,86209,10.2,10.2
CO,Arvada,106433,9,9
IL,Decatur,76122,10.6,10.7
NJ,Elizabeth,124969,8.9,8.8
CA,Vacaville,92428,9.2,9.1
CA,Costa Mesa,109960,8.5,8.4
KS,Lawrence,87643,9.5,9.1
CA,Fairfield,105321,9.4,9.4
UT,Sandy,87461,8.7,8.6
CA,San Francisco,805235,7.8,7.8
FL,West Palm Beach,99919,8,8
ID,Boise City,205671,9.1,9
CA,Westminster,89701,7.9,7.8
OR,Beaverton,89803,9.6,9.6
CA,Downey,111772,7.9,7.9
MS,Jackson,173514,10.1,10
ID,Nampa,81557,10,10
CA,Oxnard,197899,8.8,8.7
CA,Pasadena,137122,7.9,7.9
CA,Mission Viejo,93305,8,8
CA,Indio,76036,8.7,8.7
IN,Bloomington,80405,10.9,10.2
OH,Youngstown,66982,11.3,11.3
NC,Fayetteville,200564,9.2,9.1
NC,Durham,228330,8.8,8.8
OH,Columbus,787033,10.1,10
CT,New Britain,73206,11.3,11.3
TX,Mission,77058,7.8,7.8
CA,Ontario,163924,9.4,9.3
